,Training episodes,Reward
0,20,-10618.22890625
1,40,-10602.59171875
2,60,-10628.5415
3,80,-10620.854449999999
4,100,-10521.395278749998
5,120,-10355.33512925
6,140,-10218.79357215
7,160,-9986.36642022
8,180,-9691.760323676
9,200,-9407.6904464408
10,220,-9124.92110715264
11,240,-8881.449541972112
12,260,-8669.19807107769
13,280,-8485.406425612151
14,300,-8321.84482798972
15,320,-8176.156174891777
16,340,-8048.5411899134215
17,360,-7923.838889430737
18,380,-7821.76423654459
19,400,-7726.000607985672
20,420,-7632.977986388538
21,440,-7548.95817036083
22,460,-7470.108567538664
23,480,-7405.00591653093
24,500,-7334.958170724744
25,520,-7279.812005329795
26,540,-7238.615541763836
27,560,-7195.723370911069
28,580,-7162.496977978854
29,600,-7131.444457383083
30,620,-7104.2438471564665
31,640,-7086.075233975173
32,660,-7069.120343430139
33,680,-7050.7903372441115
34,700,-7038.966019795289
35,720,-7026.522503336231
36,740,-7016.166127668986
37,760,-7007.100245885188
38,780,-6998.779571708151
39,800,-6991.76303236652
40,820,-6988.928082143217
41,840,-6991.109653214573
42,860,-6992.282722571658
43,880,-6996.410709307326
44,900,-7000.131536195861
45,920,-7002.032728956689
46,940,-7009.916026915352
47,960,-7024.718759032282
48,980,-7036.576882225825
49,1000,-7046.883537030661
50,1020,-7053.333860874529
51,1040,-7060.430369949623
52,1060,-7065.940545959698
53,1080,-7069.927280517759
54,1100,-7071.624011914207
55,1120,-7072.684053281366
56,1140,-7076.224117625093
57,1160,-7083.001012850074
58,1180,-7090.95440403006
59,1200,-7100.084148224048
60,1220,-7106.942787329238
61,1240,-7114.268136113391
62,1260,-7122.657946390713
63,1280,-7128.979638362571
64,1300,-7133.339023190057
65,1320,-7140.7601248020455
66,1340,-7148.699193591636
67,1360,-7156.720917373309
68,1380,-7163.575796398647
69,1400,-7169.558449618918
70,1420,-7173.106603445134
71,1440,-7177.800595256108
72,1460,-7181.654069954886
73,1480,-7181.192943463909
74,1500,-7180.170448521127
75,1520,-7178.035890066902
76,1540,-7176.328243303522
77,1560,-7175.728375892818
78,1580,-7174.9755132142545
79,1600,-7174.126816821404
80,1620,-7176.812078457123
81,1640,-7178.480131515698
82,1660,-7179.270042712558
83,1680,-7179.630565420047
84,1700,-7180.798202336038
85,1720,-7182.68074936883
86,1740,-7183.0595994950645
87,1760,-7183.9356483460515
88,1780,-7185.524143676841
89,1800,-7186.794939941473
90,1820,-7190.362826953178
91,1840,-7192.863230312542
92,1860,-7195.265896750034
93,1880,-7194.267561150027
94,1900,-7193.592330170021
95,1920,-7192.385426636018
96,1940,-7192.718497558814
97,1960,-7192.235891797051
98,1980,-7190.169963437641
99,2000,-7184.306752000113
100,2020,-7179.28571410009
101,2040,-7175.268883780072
102,2060,-7173.007919524058
103,2080,-7171.7052418692465
104,2100,-7170.199037245397
105,2120,-7168.731261046318
106,2140,-7167.557040087055
107,2160,-7165.472350819644
108,2180,-7161.033349405716
109,2200,-7157.223398274573
110,2220,-7153.388718619658
111,2240,-7149.331131145726
112,2260,-7146.052873666582
113,2280,-7146.410736433266
114,2300,-7147.876245396613
115,2320,-7148.096777567291
116,2340,-7147.951328303832
117,2360,-7149.078718893066
118,2380,-7151.361100114453
119,2400,-7154.068723841562
120,2420,-7151.84966657325
121,2440,-7153.8298895086
122,2460,-7157.27500535688
123,2480,-7155.169223035504
124,2500,-7155.372097178403
125,2520,-7154.171427742723
126,2540,-7155.045110944178
127,2560,-7153.983901255343
128,2580,-7154.3130585042745
129,2600,-7153.88638430342
130,2620,-7153.516294942736
131,2640,-7153.220223454189
132,2660,-7151.365710013351
133,2680,-7150.781786760681
134,2700,-7150.3146481585445
135,2720,-7152.159531026836
136,2740,-7152.574968571469
137,2760,-7152.702943607175
138,2780,-7153.3898548857405
139,2800,-7153.019696408592
140,2820,-7152.515444626873
141,2840,-7149.6551682015
142,2860,-7148.7211658112
143,2880,-7147.8509951489605
144,2900,-7147.239233619168
145,2920,-7146.749824395334
146,2940,-7143.886890766267
147,2960,-7139.286543863014
148,2980,-7136.630797590411
149,3000,-7134.612763072329
150,3020,-7131.825835457863
151,3040,-7132.663012116291
152,3060,-7133.503690943033
153,3080,-7135.439046504426
154,3100,-7136.920768453541
155,3120,-7141.408489762834
156,3140,-7145.123666810267
157,3160,-7145.921902198214
158,3180,-7151.7328342585715
159,3200,-7152.929236156858
160,3220,-7159.377607675487
161,3240,-7166.18786739039
162,3260,-7168.852168912312
163,3280,-7170.58157887985
164,3300,-7171.073544353881
165,3320,-7173.259929233104
166,3340,-7175.638099636483
167,3360,-7175.675167209187
168,3380,-7175.63060251735
169,3400,-7176.14088826388
170,3420,-7175.255679361104
171,3440,-7173.796730988883
172,3460,-7174.272541041107
173,3480,-7173.971001582886
174,3500,-7172.981488766309
175,3520,-7169.353472263047
176,3540,-7165.955590310437
177,3560,-7160.95509724835
178,3580,-7154.764859048681
179,3600,-7148.155168488945
180,3620,-7142.867416041156
181,3640,-7136.905339082925
182,3660,-7130.28692751634
183,3680,-7122.581885763072
184,3700,-7120.548164860458
185,3720,-7120.451656888366
186,3740,-7120.730544260694
187,3760,-7117.821466658555
188,3780,-7114.313267076845
189,3800,-7110.572332411476
190,3820,-7107.875053429181
191,3840,-7106.170980243345
192,3860,-7106.7820966946765
193,3880,-7103.988021105742
194,3900,-7099.457916884594
195,3920,-7094.786646007675
196,3940,-7087.30181680614
197,3960,-7084.257078444912
198,3980,-7081.434256505929
199,4000,-7081.3467802047435
200,4020,-7081.899767913796
201,4040,-7078.751220581037
202,4060,-7074.38738271483
203,4080,-7071.938656171865
204,4100,-7068.501237437491
205,4120,-7061.204427449993
206,4140,-7054.011510709994
207,4160,-7051.149364817995
208,4180,-7047.131991854396
209,4200,-7041.534187233517
210,4220,-7036.360474786813
211,4240,-7031.509317329451
212,4260,-7026.645110113561
213,4280,-7023.298744340849
214,4300,-7021.226182972679
215,4320,-7020.738915128144
216,4340,-7020.953944602516
217,4360,-7016.786124432012
218,4380,-7012.1646807956095
219,4400,-7008.975025886488
220,4420,-7005.7322082091905
221,4440,-7003.184204067353
222,4460,-7000.662832003882
223,4480,-6999.727453103105
224,4500,-6995.138524982483
225,4520,-6994.616757485987
226,4540,-6994.4332497387895
227,4560,-6992.567068541032
228,4580,-6992.962248582826
229,4600,-6993.55292386626
230,4620,-6991.962495343008
231,4640,-6988.917027524407
232,4660,-6983.410340769526
233,4680,-6979.163897615621
234,4700,-6978.710180592498
235,4720,-6978.405175723998
236,4740,-6982.188515579198
