,Training episodes,Reward
0,200,-10618.22890625
1,400,-10602.59171875
2,600,-10628.5415
3,800,-10620.854449999999
4,1000,-10521.395278749998
5,1200,-10355.33512925
6,1400,-10218.79357215
7,1600,-9986.36642022
8,1800,-9691.760323676
9,2000,-9407.6904464408
10,2200,-9124.92110715264
11,2400,-8881.449541972112
12,2600,-8669.19807107769
13,2800,-8485.406425612151
14,3000,-8321.84482798972
15,3200,-8176.156174891777
16,3400,-8048.5411899134215
17,3600,-7923.838889430737
18,3800,-7821.76423654459
19,4000,-7726.000607985672
20,4200,-7632.977986388538
21,4400,-7548.95817036083
22,4600,-7470.108567538664
23,4800,-7405.00591653093
24,5000,-7334.958170724744
25,5200,-7279.812005329795
26,5400,-7238.615541763836
27,5600,-7195.723370911069
28,5800,-7162.496977978854
29,6000,-7131.444457383083
30,6200,-7104.2438471564665
31,6400,-7086.075233975173
32,6600,-7069.120343430139
33,6800,-7050.7903372441115
34,7000,-7038.966019795289
35,7200,-7026.522503336231
36,7400,-7016.166127668986
37,7600,-7007.100245885188
38,7800,-6998.779571708151
39,8000,-6991.76303236652
40,8200,-6988.928082143217
41,8400,-6991.109653214573
42,8600,-6992.282722571658
43,8800,-6996.410709307326
44,9000,-7000.131536195861
45,9200,-7002.032728956689
46,9400,-7009.916026915352
47,9600,-7024.718759032282
48,9800,-7036.576882225825
49,10000,-7046.883537030661
50,10200,-7053.333860874529
51,10400,-7060.430369949623
52,10600,-7065.940545959698
53,10800,-7069.927280517759
54,11000,-7071.624011914207
55,11200,-7072.684053281366
56,11400,-7076.224117625093
57,11600,-7083.001012850074
58,11800,-7090.95440403006
59,12000,-7100.084148224048
60,12200,-7106.942787329238
61,12400,-7114.268136113391
62,12600,-7122.657946390713
63,12800,-7128.979638362571
64,13000,-7133.339023190057
65,13200,-7140.7601248020455
66,13400,-7148.699193591636
67,13600,-7156.720917373309
68,13800,-7163.575796398647
69,14000,-7169.558449618918
70,14200,-7173.106603445134
71,14400,-7177.800595256108
72,14600,-7181.654069954886
73,14800,-7181.192943463909
74,15000,-7180.170448521127
75,15200,-7178.035890066902
76,15400,-7176.328243303522
77,15600,-7175.728375892818
78,15800,-7174.9755132142545
79,16000,-7174.126816821404
80,16200,-7176.812078457123
81,16400,-7178.480131515698
82,16600,-7179.270042712558
83,16800,-7179.630565420047
84,17000,-7180.798202336038
85,17200,-7182.68074936883
86,17400,-7183.0595994950645
87,17600,-7183.9356483460515
88,17800,-7185.524143676841
89,18000,-7186.794939941473
90,18200,-7190.362826953178
91,18400,-7192.863230312542
92,18600,-7195.265896750034
93,18800,-7194.267561150027
94,19000,-7193.592330170021
95,19200,-7192.385426636018
96,19400,-7192.718497558814
97,19600,-7192.235891797051
98,19800,-7190.169963437641
99,20000,-7184.306752000113
100,20200,-7179.28571410009
101,20400,-7175.268883780072
102,20600,-7173.007919524058
103,20800,-7171.7052418692465
104,21000,-7170.199037245397
105,21200,-7168.731261046318
106,21400,-7167.557040087055
107,21600,-7165.472350819644
108,21800,-7161.033349405716
109,22000,-7157.223398274573
110,22200,-7153.388718619658
111,22400,-7149.331131145726
112,22600,-7146.052873666582
113,22800,-7146.410736433266
114,23000,-7147.876245396613
115,23200,-7148.096777567291
116,23400,-7147.951328303832
117,23600,-7149.078718893066
118,23800,-7151.361100114453
119,24000,-7154.068723841562
120,24200,-7151.84966657325
121,24400,-7153.8298895086
122,24600,-7157.27500535688
123,24800,-7155.169223035504
124,25000,-7155.372097178403
125,25200,-7154.171427742723
126,25400,-7155.045110944178
127,25600,-7153.983901255343
128,25800,-7154.3130585042745
129,26000,-7153.88638430342
130,26200,-7153.516294942736
131,26400,-7153.220223454189
132,26600,-7151.365710013351
133,26800,-7150.781786760681
134,27000,-7150.3146481585445
135,27200,-7152.159531026836
136,27400,-7152.574968571469
137,27600,-7152.702943607175
138,27800,-7153.3898548857405
139,28000,-7153.019696408592
140,28200,-7152.515444626873
141,28400,-7149.6551682015
142,28600,-7148.7211658112
143,28800,-7147.8509951489605
144,29000,-7147.239233619168
145,29200,-7146.749824395334
146,29400,-7143.886890766267
147,29600,-7139.286543863014
148,29800,-7136.630797590411
149,30000,-7134.612763072329
150,30200,-7131.825835457863
151,30400,-7132.663012116291
152,30600,-7133.503690943033
153,30800,-7135.439046504426
154,31000,-7136.920768453541
155,31200,-7141.408489762834
156,31400,-7145.123666810267
157,31600,-7145.921902198214
158,31800,-7151.7328342585715
159,32000,-7152.929236156858
160,32200,-7159.377607675487
161,32400,-7166.18786739039
162,32600,-7168.852168912312
163,32800,-7170.58157887985
164,33000,-7171.073544353881
165,33200,-7173.259929233104
166,33400,-7175.638099636483
167,33600,-7175.675167209187
168,33800,-7175.63060251735
169,34000,-7176.14088826388
170,34200,-7175.255679361104
171,34400,-7173.796730988883
172,34600,-7174.272541041107
173,34800,-7173.971001582886
174,35000,-7172.981488766309
175,35200,-7169.353472263047
176,35400,-7165.955590310437
177,35600,-7160.95509724835
178,35800,-7154.764859048681
179,36000,-7148.155168488945
180,36200,-7142.867416041156
181,36400,-7136.905339082925
182,36600,-7130.28692751634
183,36800,-7122.581885763072
184,37000,-7120.548164860458
185,37200,-7120.451656888366
186,37400,-7120.730544260694
